id,ram,storage,cpu,bandwidth,charging_status,pareto_rank
30,0.795570821,0.483788895,0.227308165,0.033255946,1.0,18
31,0.160836863,0.392417582,0.258756477,0.173060536,1.0,5
32,0.371545416,0.027075015,0.638497193,0.210074162,1.0,8
33,0.532188851,0.857555866,0.761152152,0.888523249,1.0,51
34,0.111800507,0.076642039,0.930952028,0.578722899,1.0,21
35,0.470955221,0.6919837,0.450511864,0.299735433,1.0,28
36,0.724724184,0.972089061,0.007096292,0.587985247,1.0,37
37,0.547311362,0.904648533,0.343177647,0.241174058,1.0,30
38,0.565162391,0.714429174,0.695816777,0.338761604,0.113895752,4
39,0.352417002,0.366514313,0.759988994,0.945788787,0.331303542,7
40,0.470670608,0.394794649,0.957936578,0.914697909,1.0,47
41,0.155033631,0.154090105,0.258847884,0.394119582,1.0,4
42,0.488387602,0.209435097,0.821006257,0.766829504,1.0,35
43,0.054126079,0.843168024,0.230944148,0.654358318,0.382859344,5
44,0.058693462,0.444455505,0.465860474,0.733988307,1.0,22
45,0.152741361,0.365740325,0.330617866,0.827205859,0.073515361,2
46,0.399536896,0.41295559,0.038964082,0.045011479,0.445345001,3
47,0.5028912,0.782181267,0.800407417,0.381488618,1.0,40
48,0.609929648,0.149626318,0.76808466,0.519138931,0.193785529,5
49,0.285688626,0.659148869,0.00521925,0.009007039,0.125751227,1
50,0.646047617,0.723144444,0.906272974,0.446195761,1.0,46
51,0.240810559,0.999277105,0.285005644,0.579086648,0.482019487,8
52,0.449177577,0.401748252,0.902159115,0.615290575,0.097684335,4
53,0.873449561,0.845903807,0.22523748,0.365352352,0.33452594,6
54,0.944148725,0.283398881,0.154898821,0.40055861,0.461514382,6
55,0.08758166,0.623240269,0.075708378,0.496711753,0.256484954,2
56,0.735103525,0.485791236,0.34962311,0.199213245,1.0,23
57,0.276256926,0.95209625,0.39721647,0.162216063,0.433627177,6
58,0.87812864,0.04467567,0.758097429,0.252307125,0.376240463,5
59,0.617584865,0.915577821,0.843390749,0.005159602,1.0,38
60,0.586241423,0.41952954,0.653676191,0.56893864,0.007455559,1
61,0.975984375,0.753452124,0.687849663,0.843554973,1.0,53
62,0.72427369,0.642626559,0.454207364,0.73643301,1.0,44
63,0.756047639,0.574726273,0.957630972,0.255046887,1.0,43
64,0.476220188,0.342885842,0.581400892,0.043464122,1.0,13
65,0.584708026,0.407012598,0.918969473,0.586051569,0.019377878,2
66,0.689047883,0.203976697,0.123412935,0.614446905,0.091254004,2
67,0.301380775,0.060290441,0.621553477,0.368154781,0.176466179,2
68,0.436555541,0.864838224,0.867978983,0.848495442,1.0,50
69,0.863699027,0.88787009,0.256137457,0.90275788,0.259504449,6
70,0.51010017,0.256228967,0.809935939,0.932525666,1.0,42
71,0.220742325,0.37442506,0.229475804,0.680670018,1.0,14
72,0.673648038,0.35134027,0.87426748,0.614973604,0.352000086,8
73,0.801320552,0.948694722,0.135523567,0.594006044,1.0,41
74,0.392382327,0.146822532,0.304614558,0.049323166,0.357502009,2
75,0.02227545,0.687410531,0.034959775,0.270004171,1.0,6
76,0.930960292,0.496683351,0.02377205,0.678557311,0.490102125,9
77,0.690742033,0.013602227,0.921056447,0.19667263,1.0,26
78,0.268175463,0.774363671,0.39877039,0.231147055,0.328270181,4
79,0.832956212,0.150100798,0.089667086,0.030908573,0.470027718,5
80,0.27529883,0.102156134,0.366780532,0.112631655,1.0,2
81,0.327172934,0.202875196,0.943621222,0.91868658,0.183480184,5
82,0.579308986,0.927730329,0.461151613,0.838769614,1.0,49
83,0.872324668,0.124431997,0.187808365,0.829976276,0.074900659,3
84,0.137842529,0.99164681,0.929959745,0.504436404,0.442473343,9
85,0.161805428,0.460162097,0.478748834,0.721227179,1.0,25
86,0.249155936,0.396555337,0.990810194,0.78605745,1.0,39
87,0.330521221,0.192805492,0.674065475,0.352963821,1.0,19
88,0.607171815,0.828238441,0.883025542,0.434904561,1.0,48
89,0.102455003,0.048808455,0.434876473,0.617286721,1.0,7
90,0.899580199,0.443252687,0.320652054,0.657134189,0.279773942,6
91,0.324853993,0.331311847,0.752254183,0.826375695,0.343468836,6
92,0.712752564,0.120635146,0.489797336,0.95847668,1.0,34
93,0.264323112,0.28598279,0.244098844,0.073477392,0.195968115,1
94,0.008013953,0.198190194,0.320921869,0.8282827,1.0,11
95,0.148516606,0.904956373,0.185976008,0.289144004,1.0,16
96,0.152753957,0.469914349,0.612252715,0.408306461,0.106036202,3
97,0.230064321,0.509977159,0.935337415,0.450602432,0.159401556,4
98,0.633273391,0.981913293,0.043821971,0.629957247,1.0,36
99,0.036334821,0.595526961,0.523631619,0.622770746,1.0,24
